Sr.,TIN Number,Hardware Version,mac address,image metadata,ledCommands
90,EN0010000090,F52H,E6:82:57:EA:5F:0B,EN0010000090 V2.1-080529 2.66 BWRY F52H,"[+]led,E6:82:57:EA:5F:0B"
91,EN0010000091,F52H,C2:C7:AD:EC:CB:DE,EN0010000091 V2.1-080529 2.66 BWRY F52H,"[+]led,C2:C7:AD:EC:CB:DE"
92,EN0010000092,F52H,D3:53:A4:B7:EB:A3,EN0010000092 V2.1-080529 2.66 BWRY F52H,"[+]led,D3:53:A4:B7:EB:A3"
93,EN0010000093,F52H,C0:DD:7F:AB:5F:3B,EN0010000093 V2.1-080529 2.66 BWRY F52H,"[+]led,C0:DD:7F:AB:5F:3B"
94,EN0010000094,F52H,C6:89:14:43:C8:A8,EN0010000094 V2.1-080529 2.66 BWRY F52H,"[+]led,C6:89:14:43:C8:A8"
95,EN0010000095,F52H,F4:7C:F7:17:07:3F,EN0010000095 V2.1-080529 2.66 BWRY F52H,"[+]led,F4:7C:F7:17:07:3F"
96,EN0010000096,F52H,C6:5B:FB:99:07:21,EN0010000096 V2.1-080529 2.66 BWRY F52H,"[+]led,C6:5B:FB:99:07:21"
97,EN0010000097,F52H,E0:A2:48:29:EB:CB,EN0010000097 V2.1-080529 2.66 BWRY F52H,"[+]led,E0:A2:48:29:EB:CB"
98,EN0010000098,F52H,C6:A3:CC:D7:12:61,EN0010000098 V2.1-080529 2.66 BWRY F52H,"[+]led,C6:A3:CC:D7:12:61"
99,EN0010000099,F52H,C0:A9:06:D9:FA:8B,EN0010000099 V2.1-080529 2.66 BWRY F52H,"[+]led,C0:A9:06:D9:FA:8B"
100,EN0010000100,F52H,EC:ED:06:9E:97:DA,EN0010000100 V2.1-080529 2.66 BWRY F52H,"[+]led,EC:ED:06:9E:97:DA"
101,EN0010000101,F52H,E2:B9:ED:00:33:7F,EN0010000101 V2.1-080529 2.66 BWRY F52H,"[+]led,E2:B9:ED:00:33:7F"
102,EN0010000102,F52H,C2:3A:FC:E0:F8:3B,EN0010000102 V2.1-080529 2.66 BWRY F52H,"[+]led,C2:3A:FC:E0:F8:3B"
103,EN0010000103,F52H,E1:C6:13:52:5C:8F,EN0010000103 V2.1-080529 2.66 BWRY F52H,"[+]led,E1:C6:13:52:5C:8F"
104,EN0010000104,F52H,C4:C7:61:6B:D7:CE,EN0010000104 V2.1-080529 2.66 BWRY F52H,"[+]led,C4:C7:61:6B:D7:CE"
105,EN0010000105,F52H,F0:68:FF:44:D0:A8,EN0010000105 V2.1-080529 2.66 BWRY F52H,"[+]led,F0:68:FF:44:D0:A8"
106,EN0010000106,F52H,F9:F6:86:71:FA:15,EN0010000106 V2.1-080529 2.66 BWRY F52H,"[+]led,F9:F6:86:71:FA:15"
107,EN0010000107,F52H,C2:E0:2F:0C:83:26,EN0010000107 V2.1-080529 2.66 BWRY F52H,"[+]led,C2:E0:2F:0C:83:26"
108,EN0010000108,F52H,E1:CE:45:CC:AC:C4,EN0010000108 V2.1-080529 2.66 BWRY F52H,"[+]led,E1:CE:45:CC:AC:C4"
109,EN0010000109,F52H,E0:61:FE:45:7D:3B,EN0010000109 V2.1-080529 2.66 BWRY F52H,"[+]led,E0:61:FE:45:7D:3B"
110,EN0010000110,F52H,C7:B7:6E:B3:B1:6A,EN0010000110 V2.1-080529 2.66 BWRY F52H,"[+]led,C7:B7:6E:B3:B1:6A"
111,EN0010000111,F52H,F9:DC:6B:73:F4:6C,EN0010000111 V2.1-080529 2.66 BWRY F52H,"[+]led,F9:DC:6B:73:F4:6C"
